Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pitch,y,pitch,x,pris,z,pris,y,pitch,y,258
roll,z,pitch,y,pitch,x,pris,y,roll,y,pitch,y,259
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pitch,y,260
roll,z,pitch,y,pitch,x,pris,y,pris,y,pitch,y,261
roll,z,pitch,y,pitch,x,pris,x,roll,y,pitch,y,262
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pitch,y,263
roll,z,pitch,y,pitch,x,pris,x,pris,y,pitch,y,264
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pitch,z,265
roll,z,pitch,y,pitch,x,pris,z,pris,y,pitch,z,266
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pitch,z,267
roll,z,pitch,y,pitch,x,pris,y,pris,y,pitch,z,268
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pitch,z,269
roll,z,pitch,y,pitch,x,pris,x,pris,y,pitch,z,270
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pris,x,271
roll,z,pitch,y,pitch,x,pris,z,pris,y,pris,x,272
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pris,x,273
roll,z,pitch,y,pitch,x,pris,y,pris,y,pris,x,274
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pris,x,275
roll,z,pitch,y,pitch,x,pris,x,pris,y,pris,x,276
roll,z,pitch,y,pitch,x,pris,z,roll,y,pris,y,277
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pris,y,278
roll,z,pitch,y,pitch,x,pris,y,roll,y,pris,y,279
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pris,y,280
roll,z,pitch,y,pitch,x,pris,x,roll,y,pris,y,281
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pris,y,282
roll,z,pitch,y,pitch,x,pris,z,roll,y,pris,z,283
roll,z,pitch,y,pitch,x,pris,z,pitch,y,pris,z,284
roll,z,pitch,y,pitch,x,pris,y,roll,y,pris,z,285
roll,z,pitch,y,pitch,x,pris,y,pitch,y,pris,z,286
roll,z,pitch,y,pitch,x,pris,x,roll,y,pris,z,287
roll,z,pitch,y,pitch,x,pris,x,pitch,y,pris,z,288
roll,z,pitch,y,pitch,x,pris,z,pitch,y,roll,x,289
roll,z,pitch,y,pitch,x,pris,z,pris,y,roll,x,290
roll,z,pitch,y,pitch,x,pris,y,pitch,y,roll,x,291
roll,z,pitch,y,pitch,x,pris,y,pris,y,roll,x,292
roll,z,pitch,y,pitch,x,pris,x,pitch,y,roll,x,293
roll,z,pitch,y,pitch,x,pris,x,pris,y,roll,x,294
roll,z,pitch,y,pitch,x,pris,z,roll,y,roll,y,295
roll,z,pitch,y,pitch,x,pris,z,pitch,y,roll,y,296
roll,z,pitch,y,pitch,x,pris,z,pris,y,roll,y,297
roll,z,pitch,y,pitch,x,pris,y,roll,y,roll,y,298
roll,z,pitch,y,pitch,x,pris,y,pitch,y,roll,y,299
roll,z,pitch,y,pitch,x,pris,y,pris,y,roll,y,300
roll,z,pitch,y,pitch,x,pris,x,roll,y,roll,y,301
roll,z,pitch,y,pitch,x,pris,x,pitch,y,roll,y,302
roll,z,pitch,y,pitch,x,pris,x,pris,y,roll,y,303
roll,z,pitch,y,pitch,x,pris,z,pitch,y,roll,z,304
roll,z,pitch,y,pitch,x,pris,z,pris,y,roll,z,305
roll,z,pitch,y,pitch,x,pris,y,pitch,y,roll,z,306
roll,z,pitch,y,pitch,x,pris,y,pris,y,roll,z,307
roll,z,pitch,y,pitch,x,pris,x,pitch,y,roll,z,308
roll,z,pitch,y,pitch,x,pris,x,pris,y,roll,z,309
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pitch,x,310
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pitch,x,311
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pitch,x,312
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pitch,y,313
roll,z,pitch,y,pitch,x,pris,z,roll,z,pitch,y,314
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pitch,y,315
roll,z,pitch,y,pitch,x,pris,y,roll,z,pitch,y,316
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pitch,y,317
roll,z,pitch,y,pitch,x,pris,x,roll,z,pitch,y,318
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pitch,z,319
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pitch,z,320
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pitch,z,321
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pris,x,322
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pris,x,323
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pris,x,324
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pris,y,325
roll,z,pitch,y,pitch,x,pris,z,roll,z,pris,y,326
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pris,y,327
roll,z,pitch,y,pitch,x,pris,y,roll,z,pris,y,328
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pris,y,329
roll,z,pitch,y,pitch,x,pris,x,roll,z,pris,y,330
roll,z,pitch,y,pitch,x,pris,z,pitch,z,pris,z,331
roll,z,pitch,y,pitch,x,pris,y,pitch,z,pris,z,332
roll,z,pitch,y,pitch,x,pris,x,pitch,z,pris,z,333
roll,z,pitch,y,pitch,x,pris,z,pitch,z,roll,x,334
roll,z,pitch,y,pitch,x,pris,y,pitch,z,roll,x,335
roll,z,pitch,y,pitch,x,pris,x,pitch,z,roll,x,336
roll,z,pitch,y,pitch,x,pris,z,pitch,z,roll,y,337
roll,z,pitch,y,pitch,x,pris,z,roll,z,roll,y,338
roll,z,pitch,y,pitch,x,pris,y,pitch,z,roll,y,339
roll,z,pitch,y,pitch,x,pris,y,roll,z,roll,y,340
roll,z,pitch,y,pitch,x,pris,x,pitch,z,roll,y,341
roll,z,pitch,y,pitch,x,pris,x,roll,z,roll,y,342
