,Arm ID,Point number,Move duration,Success,Manipulability - mu,Manipulability - jacobian,Manipulability - cur pose,Manipulability - roni,Mid joint proximity,Max Mid joint proximity,Sum Mid joint proximity,Sum Mid joint proximity- all joints
202,_roll_z_0_1_pris_z_0_1_pris_y_0_7_roll_y_0_3_pris_z_0_7,,,,,,,,,,,
203,_roll_z_0_1_roll_y_0_5_pris_y_0_7_pitch_y_0_1_roll_y_0_5,,,,,,,,,,,
204,_roll_z_0_1_pris_z_0_1_pris_y_0_3_roll_y_0_7_pris_z_0_7,,,,,,,,,,,
205,_roll_z_0_1_roll_y_0_5_pris_y_0_5_pitch_z_0_1_roll_y_0_3,,,,,,,,,,,
206,_roll_z_0_1_pitch_y_0_7_pris_y_0_1_roll_y_0_5_pitch_y_0_5,,,,,,,,,,,
207,_roll_z_0_1_pris_y_0_3_roll_y_0_7_pitch_y_0_1_pitch_y_0_7,,,,,,,,,,,
208,_roll_z_0_1_roll_y_0_1_pris_z_0_1_pris_y_0_5_roll_x_0_7,,,,,,,,,,,
209,_roll_z_0_1_pris_y_0_5_roll_z_0_3_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
210,_roll_z_0_1_roll_y_0_3_pris_y_0_3_pitch_x_0_3_roll_y_0_7,,,,,,,,,,,
211,_roll_z_0_1_pitch_y_0_1_roll_y_0_1_pris_y_0_5_roll_y_0_7,,,,,,,,,,,
212,_roll_z_0_1_pris_y_0_3_roll_y_0_1_pitch_y_0_7_roll_z_0_5,,,,,,,,,,,
213,_roll_z_0_1_pris_y_0_3_pitch_x_0_1_pris_x_0_3_roll_z_0_7,,,,,,,,,,,
214,_roll_z_0_1_roll_y_0_3_pris_y_0_1_pitch_x_0_7_roll_z_0_7,,,,,,,,,,,
215,_roll_z_0_1_pris_z_0_3_pris_y_0_1_roll_y_0_3_pitch_y_0_7,,,,,,,,,,,
216,_roll_z_0_1_roll_y_0_3_pris_y_0_5_roll_y_0_3_pitch_y_0_5,,,,,,,,,,,
217,_roll_z_0_1_pris_y_0_1_roll_y_0_7_roll_y_0_1_pitch_y_0_7,,,,,,,,,,,
