Joint1_Type,Joint1_Axis,Joint2_Type,Joint2_Axis,Joint3_Type,Joint3_Axis,Joint4_Type,Joint4_Axis,Joint5_Type,Joint5_Axis,Joint6_Type,Joint6_Axis,Index
roll,z,pris,z,pitch,y,pris,y,pitch,x,roll,x,340
roll,z,pris,z,pitch,y,pris,y,pitch,x,pris,x,341
roll,z,pris,z,pitch,y,pris,y,pitch,x,roll,z,342
roll,z,pris,z,pitch,y,pris,y,pitch,x,pitch,x,343
roll,z,pris,z,pitch,y,pitch,z,roll,y,roll,y,344
roll,z,pris,z,pitch,y,pitch,z,roll,y,pitch,y,345
roll,z,pris,z,pitch,y,pitch,z,roll,y,pris,z,346
roll,z,pris,z,pitch,y,pitch,z,roll,y,pris,y,347
roll,z,pris,z,pitch,y,pitch,z,pitch,y,roll,y,348
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pitch,y,349
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pris,z,350
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pris,y,351
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pitch,z,352
roll,z,pris,z,pitch,y,pitch,z,pitch,y,roll,x,353
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pris,x,354
roll,z,pris,z,pitch,y,pitch,z,pitch,y,roll,z,355
roll,z,pris,z,pitch,y,pitch,z,pitch,y,pitch,x,356
roll,z,pris,z,pitch,y,pitch,z,pris,z,roll,y,357
roll,z,pris,z,pitch,y,pitch,z,pris,z,pitch,y,358
roll,z,pris,z,pitch,y,pitch,z,pris,z,pris,y,359
roll,z,pris,z,pitch,y,pitch,z,pris,z,pitch,z,360
roll,z,pris,z,pitch,y,pitch,z,pris,z,roll,x,361
roll,z,pris,z,pitch,y,pitch,z,pris,z,pris,x,362
roll,z,pris,z,pitch,y,pitch,z,pris,z,roll,z,363
roll,z,pris,z,pitch,y,pitch,z,pris,z,pitch,x,364
roll,z,pris,z,pitch,y,pitch,z,pris,y,roll,y,365
roll,z,pris,z,pitch,y,pitch,z,pris,y,pitch,y,366
roll,z,pris,z,pitch,y,pitch,z,pris,y,pris,y,367
roll,z,pris,z,pitch,y,pitch,z,pris,y,pitch,z,368
roll,z,pris,z,pitch,y,pitch,z,pris,y,roll,x,369
roll,z,pris,z,pitch,y,pitch,z,pris,y,pris,x,370
roll,z,pris,z,pitch,y,pitch,z,pris,y,roll,z,371
roll,z,pris,z,pitch,y,pitch,z,pris,y,pitch,x,372
roll,z,pris,z,pitch,y,pitch,z,pitch,z,roll,y,373
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pitch,y,374
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pris,z,375
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pris,y,376
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pitch,z,377
roll,z,pris,z,pitch,y,pitch,z,pitch,z,roll,x,378
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pris,x,379
roll,z,pris,z,pitch,y,pitch,z,pitch,z,roll,z,380
roll,z,pris,z,pitch,y,pitch,z,pitch,z,pitch,x,381
roll,z,pris,z,pitch,y,pitch,z,roll,x,roll,y,382
roll,z,pris,z,pitch,y,pitch,z,roll,x,pitch,y,383
roll,z,pris,z,pitch,y,pitch,z,roll,x,pris,z,384
roll,z,pris,z,pitch,y,pitch,z,roll,x,pris,y,385
roll,z,pris,z,pitch,y,pitch,z,pris,x,roll,y,386
roll,z,pris,z,pitch,y,pitch,z,pris,x,pitch,y,387
roll,z,pris,z,pitch,y,pitch,z,pris,x,pris,y,388
roll,z,pris,z,pitch,y,pitch,z,pris,x,pitch,z,389
roll,z,pris,z,pitch,y,pitch,z,pris,x,roll,x,390
roll,z,pris,z,pitch,y,pitch,z,pris,x,pris,x,391
roll,z,pris,z,pitch,y,pitch,z,pris,x,roll,z,392
roll,z,pris,z,pitch,y,pitch,z,pris,x,pitch,x,393
roll,z,pris,z,pitch,y,pitch,z,roll,z,roll,y,394
